Nominative singular,English,Nominative plural,Partitive singular,Partitive plural,Genitive singular,Genitive plural,Illative singular,Illative plural,Inessive singular,Inessive plural,Elative singular,Elative plural,Adessive singular,Adessive plural,Ablative singular,Ablative plural,Allative singular,Allative plural,Essive singular,Essive plural,Translative singular,Translative plural,Abessive singular,Abessive plural,Last reviewed,Next review,Correct?,Times correct,Times incorrect
mansikka,strawberry,mansikat,mansikkaa,mansikoita,mansikan,mansikoiden,mansikkaan,mansikoihin,mansikassa,mansikoissa,mansikasta,mansikoista,mansikalla,mansikoilla,mansikalta,mansikoilta,mansikalle,mansikoille,mansikkana,mansikkoina,mansikaksi,mansikoiksi,mansikatta,mansikoitta,nan,2019-02-16 13:57:10.313845,,0,0
koira,dog,koirat,koiraa,koiria,koiran,koirien,koiraan,koiriin,koirassa,koirissa,koirasta,koirista,koiralla,koirilla,koiralta,koirilta,koiralle,koirille,koirana,koirina,koiraksi,koiriksi,koiratta,koiritta,,2019-02-16 13:58:07.805902,,0,0
